Inside which HTML element do we put the JavaScript?,<javascript>,<scripting>,<script>,<js>,C,JavaScript
Which of the following is true about variable naming conventions in JavaScript?,You should not use any of the JavaScript reserved keyword as variable name.,JavaScript variable names should not start with a numeral (0-9).,Both of the above., None of the above.,C,JavaScript
"What is the correct JavaScript syntax to change the content of the HTML element below?  <p id=""demo"">This is a demonstration.</p>","document.getElement(""p"").innerHTML = ""Hello World!"";","#demo.innerHTML = ""Hello World!"";","document.getElementById(""demo"").innerHTML = ""Hello World!"";","document.getElementByName(""p"").innerHTML = ""Hello World!"";",C,JavaScript
Where is the correct place to insert a JavaScript?,Both the <head> section and the <body> section are correct ,The <body> section,The <head> section,,A,JavaScript
"What is the correct syntax for referring to an external script called ""xxx.js""?","<script name=""xxx.js"">","<script href=""xxx.js"">","<script src=""xxx.js"">",,C,JavaScript
The external JavaScript file must contain the <script> tag.,TRUE,FALSE,,,B,JavaScript
"How do you write ""Hello World"" in an alert box?","msg(""Hello World"");","msgBox(""Hello World"");","alertBox(""Hello World"");","alert(""Hello World"");",D,JavaScript
How do you create a function in JavaScript?,function myFunction(),function:myFunction(),function = myFunction(),,A,JavaScript
"How do you call a function named ""myFunction""?",myFunction() ,call myFunction(),call function myFunction(),,A,JavaScript
How to write an IF statement in JavaScript?,if i == 5 then,if i = 5 then,if i = 5,if (i == 5),D,JavaScript
"How to write an IF statement for executing some code if ""i"" is NOT equal to 5?",if (i != 5),if i =! 5 then,if i <> 5,if (i <> 5),A,JavaScript
How does a WHILE loop start?,while (i <= 10),while i = 1 to 10,while (i <= 10; i++),,A,JavaScript
How does a FOR loop start?,for i = 1 to 5,for (i <= 5; i++),for (i = 0; i <= 5; i++) ,for (i = 0; i <= 5),C,JavaScript
How can you add a comment in a JavaScript?,<!--This is a comment-->,//This is a comment,This is a comment,,B,JavaScript
How to insert a comment that has more than one line?,"//This comment has
more than one line//","/*This comment has
more than one line*/","<!--This comment has
more than one line-->",,B,JavaScript
What is the correct way to write a JavaScript array?,"var colors = 1 = (""red""), 2 = (""green""), 3 = (""blue"")","var colors = [""red"", ""green"", ""blue""]","var colors = (1:""red"", 2:""green"", 3:""blue"")","var colors = ""red"", ""green"", ""blue""",B,JavaScript
"How do you round the number 7.25, to the nearest integer?",round(7.25),Math.round(7.25),rnd(7.25),Math.rnd(7.25),B,JavaScript
How do you find the number with the highest value of x and y?,"Math.ceil(x, y)","ceil(x, y)","Math.max(x, y) ","top(x, y)",C,JavaScript
JavaScript is the same as Java.,TRUE,FALSE,,,B,JavaScript
How can you detect the client's browser name?,browser.name,navigator.appName,client.navName,,B,JavaScript
Which event occurs when the user clicks on an HTML element?,onmouseover,onclick,onmouseclick,onchange,B,JavaScript
How do you declare a JavaScript variable?,v carName;,variable carName;,var carName;,,C,JavaScript
Which operator is used to assign a value to a variable?,""" = """,""" x """,""" - """,""" * """,A,JavaScript
What will the following code return: Boolean(10 > 9),NaN,FALSE,TRUE,,C,JavaScript
Is JavaScript case-sensitive?,No,Yes,,,B,JavaScript
What is the correct command to create a new React project?,npm create-react-app myReactApp,npx create-react-app,npm create-react-app,npx create-react-app myReactApp,D,React
"What does myReactApp refer to in the following command?
  npx create-react-app myReactApp",The type of app to create,The name you want to use for the new app,A reference to an existing app,The directory to create the new app in,B,React
What command is used to start the React local development server?,npm run dev,npm build,npm start,npm serve,C,React
What is the default local host port that a React development server uses?,5000,3000,8080,3500,B,React
"To develop and run React code, Node.js is required.",FALSE,TRUE,,,B,React
"What type of element will be rendered from the following code? 

function Car() {
  return <h1>Ford Mustang</h1>;
}

const root = createRoot(document.getElementById('root'));
root.render(<Car />);",ReactDom,div,Component,h1 ,D,React
What is the children prop?,A property that lets you nest components in other components,A property that adds child values to state,A property that lets you set an object as a property,A property that lets you pass data to child components,A,React
Which keyword creates a constant in JavaScript?,let,constant,const ,var,C,React
A copy of the 'real' DOM that is kept in memory is called what?,Virtual DOM,DOM,Shadow DOM,React DOM,A,React
React component names must begin with an uppercase letter.,TRUE,FALSE,,,A,React
Which operator can be used to conditionally render a React component?,::,??,||,&&,D,React
"When rendering a list using the JavaScript map() method, what is required for each element rendered?",id,key,data,index,B,React
What tool does React use to compile JSX?,ReactDOM,JSX Compiler,Babel ,React Router,C,React
How can you optimze performance for a function component that always renders the same way?,Use the useMemo Hook.,Wrap it in the React.memo higher-order component.,Use the useReducer Hook.,Use the shouldComponentUpdate lifecycle method.,B,React
What props will be available to the following component?  <Car {...props} />,all of them,only static ones,children,only updated ones,A,React
What is a common use case for ref?,To refer to a function,To directly access a DOM node,To bind the function,To refer to another JavaScript file,B,React
"How can you combine the following arrays using the spread operator?  
const array1 = [1, 2, 3];
const array2 = [4, 5, 6];","const combined = [...array1, ...array2];",const combined = array1 + array2;,const combined = ...array1 + ...array2;,"const combined = [array1, array2];",A,React
React can only render elements in the root document element.,TRUE,FALSE,,,B,React
What is the correct syntax to import a Component from React?,import React.Component from 'react',import { Component } from 'react',import Component from 'react',import [ Component ] from 'react',B,React
"Find the bug in this code:

function car({make, model}) {
  return <h1>{make} {model}</h1>;
};",Wrap the return in a fragment,Remove the return statement,The first letter of the function must be capitalized,Add parenthesis around the return value,C,React
React separates the user interface into components. How are components combinded to create a user interface?,With webpack,By nesting components,With code splitting,By putting them in a folder structure,B,React
"Although React Hooks generally replace class components, there are no plans to remove classes from React.",FALSE,TRUE,,,B,React
Which of the following is NOT a rule for React Hooks?,Hooks can only be called inside React Function components,Hooks cannot be conditional,Hooks can only be called at the top level of a component,Hooks can be called in Class or Function components,D,React
"What is the output of the following code?
const make = 'Ford';
const model = 'Mustang';
const car = { make, model };
console.log(car);","{make: 'Ford', model: 'Mustang'}","{{make: 'Ford', model: 'Mustang'}}","{car: 'Ford', car: 'Mustang'}}","{car: {make: 'Ford', model: 'Mustang'}}",A,React
Why should you avoid copying the values of props into a component's state?,Because you should never mutate state,Because prop values cannot be stored in state,Because that would create two instances of the same state that could become out of sync,Because you want to allow data to flow back up to the parent,C,React
What does CSS stand for?,Cascading Style Sheets,Creative Style Sheets,Computer Style Sheets,Colorful Style Sheets,A,CSS
What is the correct HTML for referring to an external style sheet?,"<link rel=""stylesheet"" type=""text/css"" href=""mystyle.css""> ","<style src=""mystyle.css"">",<stylesheet>mystyle.css</stylesheet>,,A,CSS
Where in an HTML document is the correct place to refer to an external style sheet?,At the end of the document,In the <head> section,In the <body> section,,B,CSS
Which HTML tag is used to define an internal style sheet?,<css>,<style>,<script>,,B,CSS
Which HTML attribute is used to define inline styles?,styles,style,font,class,B,CSS
Which is the correct CSS syntax?,{body:color=black;},{body;color:black;},body {color: black;},body:color=black;,C,CSS
How do you insert a comment in a CSS file?,/* this is a comment */,// this is a comment, this is a comment,// this is a comment //,A,CSS
Which property is used to change the background color?,color,background-color,bgcolor,,B,CSS
How do you add a background color for all <h1> elements?,all.h1 {background-color:#FFFFFF;},h1 {background-color:#FFFFFF;} ,h1.all {background-color:#FFFFFF;},,B,CSS
Which CSS property is used to change the text color of an element?,color,fgcolor,text-color,,A,CSS
Which CSS property controls the text size?,text-style,font-style,text-size,font-size,D,CSS
What is the correct CSS syntax for making all the <p> elements bold?,p {font-weight:bold;},"<p style=""text-size:bold;"">","<p style=""font-size:bold;"">",p {text-size:bold;},A,CSS
How do you display hyperlinks without an underline?,a {text-decoration:no-underline;},a {underline:none;},a {decoration:no-underline;},a {text-decoration:none;},D,CSS
